#Parameters = {R=50}
#"Wavelength / nm"	"Total RCS [pw] (R=50) [Magnitude]"
#-----------------------------------------------------
416.95752155772	15737.605346640
415.22501108033	16440.787488041
413.50683862069	17122.360678849
411.80282692308	17697.323228577
410.11280164159	18035.672851970
408.43659128065	17778.412182525
406.77402713704	16650.750981739
405.12494324324	14617.098691454
403.48917631225	12010.010657094
401.86656568365	9393.3614171649
400.25695327103	7221.4818037251
398.66018351064	5369.4436157183
397.07610331126	4423.7100962041
395.50456200528	4086.2679636132
393.94541130092	4083.1556093733
392.39850523560	4256.8113476476
390.86370013038	4521.3273132050
389.34085454545	4968.6959793633
387.82982923674	5554.0448200123
386.33048711340	6082.5894906995
384.84269319641	6569.7965371171
#Parameters = {R=60}
#"Wavelength / nm"	"Total RCS [pw] (R=60) [Magnitude]"
#-----------------------------------------------------
788.92752105263	1444.8927337413
782.74793211488	1485.5240915094
776.66439896373	1527.3269098504
770.67469922879	1570.3478652113
764.77667857143	1614.8441601600
758.96824810127	1660.7230429997
753.24738190955	1707.9457899322
747.61211471322	1756.7152068694
742.06053960396	1807.1497896735
736.59080589681	1859.1208059911
731.20111707317	1912.7380451047
725.88972881356	1968.1711312752
720.65494711538	2025.6447647404
715.49512649165	2084.9071150495
710.40866824645	2146.1729808385
705.39401882353	2210.1179655212
700.44966822430	2276.3775872206
695.57414849188	2344.5504955094
690.76603225806	2415.1098958628
686.02393135011	2488.8502347574
681.34649545455	2565.5536725482
676.73241083521	2645.4143984609
672.18039910314	2728.5296659324
667.68921603563	2814.9422128712
663.25765044248	2904.8488519741
658.88452307692	2998.6936552644
654.56868558952	3096.8772038662
650.30901952278	3199.5442978100
646.10443534483	3307.2953861657
641.95387152034	3420.2943058077
637.85629361702	3539.1670565445
633.81069344609	3664.3084239039
629.81608823529	3796.2474125484
625.87151983299	3936.0340024928
621.97605394191	4083.9447692689
618.12877938144	4241.2576355375
614.32880737705	4408.7452843003
610.57527087576	4587.6111567585
606.86732388664	4780.4909908416
603.20414084507	4988.1654690822
599.58491600000	5212.5123603012
596.00886282306	5456.4688643387
592.47521343874	5721.8948661815
588.98321807466	6013.3527911769
585.53214453125	6337.3876659149
582.12127766990	6695.5393545362
578.74991891892	7097.3114983241
575.41738579655	7552.2569272123
572.12301145038	8068.9648002204
568.86614421252	8664.6926483273
565.64614716981	9363.0866874724
562.46239774859	10182.380866903
559.31428731343	11156.727996079
556.20122077922	12335.787295879
553.12261623616	13774.879565749
550.07790458716	15556.348089660
547.06652919708	17835.230838506
544.08794555354	20757.725402591
541.14162093863	24559.673699164
538.22703411131	29644.555341319
535.34367500000	36471.619201200
532.49104440497	45499.947885817
529.66865371025	57024.615945272
526.87602460457	70562.791011196
524.11268881119	83433.142673792
521.37818782609	91201.561960058
518.67207266436	90649.535068741
515.99390361446	82635.906687197
513.34325000000	71453.776921860
510.71968994889	60650.242728272
508.12281016949	51431.657620296
505.55220573356	44257.726751668
