#Parameters = {R=70}
#"Frequency / THz"	"Total RCS [pw] [Magnitude]"
#----------------------------------------------
548.00000000000	4294.9059552922
551.00000000000	4518.9837490157
554.00000000000	4766.9824416415
557.00000000000	5046.3484399334
560.00000000000	5362.7564381851
563.00000000000	5721.7635654542
566.00000000000	6133.4373307001
569.00000000000	6614.3500042966
572.00000000000	7177.2064384026
575.00000000000	7843.3964503928
578.00000000000	8655.4650151015
581.00000000000	9663.3074255765
584.00000000000	10915.278421506
587.00000000000	12495.111682137
590.00000000000	14553.461592566
593.00000000000	17258.507076771
596.00000000000	20841.388473548
599.00000000000	25614.558021088
602.00000000000	31978.764035106
605.00000000000	40117.396412334
608.00000000000	49587.946536961
611.00000000000	58619.074759909
614.00000000000	64233.626997732
617.00000000000	63311.269910722
620.00000000000	56992.292440608
623.00000000000	48760.591024418
626.00000000000	40928.047854856
629.00000000000	34475.965159812
632.00000000000	29604.314963950
635.00000000000	25998.600426786
638.00000000000	23329.575692042
641.00000000000	21245.223866671
644.00000000000	19730.368713428
647.00000000000	18633.184500201
650.00000000000	17849.279625891
653.00000000000	17282.002645076
656.00000000000	16890.324565213
659.00000000000	16671.152393064
662.00000000000	16593.673501758
665.00000000000	16636.431593489
668.00000000000	16775.324377544
671.00000000000	17014.855565402
674.00000000000	17353.894470757
677.00000000000	17788.544051376
680.00000000000	18317.671517445
683.00000000000	18941.699133534
686.00000000000	19666.132202176
689.00000000000	20493.698992029
692.00000000000	21424.360002948
695.00000000000	22454.396916189
698.00000000000	23589.864044419
701.00000000000	24832.763325287
704.00000000000	26060.075583469
707.00000000000	27132.698066903
710.00000000000	27826.862119934
713.00000000000	27835.710841953
716.00000000000	26540.745039083
719.00000000000	23694.978212926
722.00000000000	19706.732994913
725.00000000000	15385.737301934
728.00000000000	11535.063417672
731.00000000000	8570.8632677036
734.00000000000	6223.8856742741
737.00000000000	4903.7136375787
740.00000000000	4296.6778255385
743.00000000000	4136.1561932467
746.00000000000	4244.0623654510
749.00000000000	4508.7212039566
752.00000000000	5028.1672942178
755.00000000000	5618.4806416361
758.00000000000	6211.3464614935
761.00000000000	6791.6857950455
764.00000000000	7354.1034767423
767.00000000000	7898.4110006939
770.00000000000	8540.7624698898
773.00000000000	9291.9811415161
776.00000000000	10006.968056930
779.00000000000	10696.560709250
#Parameters = {R=58}
#"Frequency / THz"	"Total RCS [pw] (R=58) [Magnitude]"
#-----------------------------------------------------
380.00000000000	1177.9086157889
383.00000000000	1210.3787682996
386.00000000000	1243.7610946063
389.00000000000	1278.0600882546
392.00000000000	1313.4983699967
395.00000000000	1349.9794421046
398.00000000000	1387.4611122285
401.00000000000	1426.1239683259
404.00000000000	1466.0422896581
407.00000000000	1507.1095255204
410.00000000000	1549.4158822070
413.00000000000	1593.1452349928
416.00000000000	1638.1583604238
419.00000000000	1684.6385288340
422.00000000000	1732.5711729131
425.00000000000	1782.4857209403
428.00000000000	1834.0856031145
431.00000000000	1887.0201595938
434.00000000000	1941.6939159145
437.00000000000	1998.6675593020
440.00000000000	2057.7000530177
443.00000000000	2118.9603522167
446.00000000000	2182.5263379261
449.00000000000	2248.3311829697
452.00000000000	2316.5428002857
455.00000000000	2387.4142270004
458.00000000000	2461.2159550544
461.00000000000	2537.9803162167
464.00000000000	2618.0880412829
467.00000000000	2701.6186517733
470.00000000000	2788.8670088474
473.00000000000	2880.1576154221
476.00000000000	2975.6405226805
479.00000000000	3075.9309664817
482.00000000000	3181.1558558558
485.00000000000	3291.8760767302
488.00000000000	3408.5858657508
491.00000000000	3531.7128614398
494.00000000000	3662.7700433290
497.00000000000	3801.8932851034
500.00000000000	3949.8416375794
503.00000000000	4107.9077778754
506.00000000000	4277.0163069566
509.00000000000	4458.9530994585
512.00000000000	4656.1433527539
515.00000000000	4869.6891067305
518.00000000000	5102.4452002072
521.00000000000	5358.3230046656
524.00000000000	5639.6376588154
527.00000000000	5952.6557285556
530.00000000000	6304.9808850313
533.00000000000	6701.1267086998
536.00000000000	7150.9039683139
539.00000000000	7668.5247503941
542.00000000000	8266.6377433285
545.00000000000	8965.4358542147
548.00000000000	9803.3657248609
551.00000000000	10808.692849128
554.00000000000	12030.555915233
557.00000000000	13556.918567796
560.00000000000	15491.663386427
563.00000000000	17965.884972860
566.00000000000	21180.170667474
569.00000000000	25460.438888117
572.00000000000	31148.758212518
575.00000000000	38677.082612373
578.00000000000	48585.894806161
581.00000000000	60757.928978988
584.00000000000	73134.107121106
587.00000000000	81763.846545351
590.00000000000	82576.789151914
593.00000000000	75872.501526137
596.00000000000	65738.451117878
599.00000000000	55698.224491920
602.00000000000	47215.247996722
605.00000000000	40599.586383134
