#Parameters = {R=50}
#"Wavelength / nm"	"Total ACS [pw] (R=50) [Magnitude]"
#-----------------------------------------------------
788.92752105263	1.9411707853818
782.74793211488	3.2998066744178
776.66439896373	4.5494859969959
770.67469922879	5.2819538597970
764.77667857143	5.5280156981029
758.96824810127	5.4860210993254
753.24738190955	5.6224216018020
747.61211471322	5.9154298879275
742.06053960396	6.3787195563602
736.59080589681	7.0544536193527
731.20111707317	7.8529520376604
725.88972881356	8.7929611885328
720.65494711538	9.8072059253724
715.49512649165	10.574693734926
710.40866824645	11.372917642074
705.39401882353	12.298437873891
700.44966822430	13.321188236396
695.57414849188	14.675640606081
690.76603225806	16.138696454030
686.02393135011	17.705235024078
681.34649545455	19.364896198411
676.73241083521	21.212755287704
672.18039910314	23.208829645667
667.68921603563	25.204503120799
663.25765044248	27.212840843592
658.88452307692	29.364857793504
654.56868558952	31.803187831059
650.30901952278	34.358382805114
646.10443534483	37.089590904250
641.95387152034	39.948271148455
637.85629361702	42.936510656591
633.81069344609	46.069227139714
629.81608823529	49.354620737277
625.87151983299	52.634872648351
621.97605394191	56.083612079649
618.12877938144	59.836367646059
614.32880737705	63.917961092783
610.57527087576	68.227454174388
606.86732388664	73.392261857599
603.20414084507	78.965956784699
599.58491600000	84.795737454810
596.00886282306	90.355632935097
592.47521343874	96.245783294373
588.98321807466	102.64919592706
585.53214453125	109.91654808324
582.12127766990	117.65433078692
578.74991891892	126.02356648792
575.41738579655	135.20957555541
572.12301145038	145.05427978309
568.86614421252	155.63499206364
565.64614716981	167.06398637665
562.46239774859	179.37640882373
559.31428731343	192.99197916770
556.20122077922	208.92211466569
553.12261623616	226.20614633855
550.07790458716	245.00153436200
547.06652919708	265.88040403376
544.08794555354	288.71687511196
541.14162093863	313.74649246666
538.22703411131	342.42952507938
535.34367500000	374.90342605417
532.49104440497	410.91235469840
529.66865371025	451.22993165045
526.87602460457	498.32258442064
524.11268881119	550.83437096640
521.37818782609	610.24870688121
518.67207266436	677.28835818157
515.99390361446	753.54974837359
513.34325000000	840.84250161414
510.71968994889	941.74080197791
508.12281016949	1069.6185666192
505.55220573356	1224.3472908471
503.00747986577	1407.6603481006
500.48824373957	1626.5792301336
497.99411627907	1892.9529341691
495.52472396694	2218.2340209654
493.07970065789	2618.7710767068
490.65868739771	3117.4605683319
488.26133224756	3788.8472278913
485.88729011345	4678.2655383816
483.53622258065	5849.8259251405
481.20779775281	7410.4933919404
478.90169009585	9562.9134235459
476.61758028617	12530.971359718
474.35515506329	16382.520153562
472.11410708661	20924.301207072
469.89413479624	25263.779696594
467.69494227769	27847.382168789
465.51623913043	27067.648825830
463.35774034003	23708.569439405
461.21916615385	19553.759413532
459.10024196018	15744.650261339
457.00069817073	12679.911427731
454.92027010622	10365.904669358
452.85869788520	8636.6835390964
450.81572631579	7336.5440285560
448.79110479042	6345.2771547217
446.78458718331	5589.5743241658
444.79593175074	5010.1350832267
442.82490103397	4562.5117566252
440.87126176471	4216.5082041477
438.93478477306	3974.8086846677
437.01524489796	3816.0651080520
435.11242089985	3711.8000982031
433.22609537572	3656.9662903309
431.35605467626	3648.9875390187
429.50208882521	3692.7788382534
427.66399144080	3805.1143313319
425.84155965909	3981.1674991836
424.03459405941	4229.3443227877
422.24289859155	4561.5360207232
420.46628050491	4993.9137462905
418.70455027933	5629.8836262720
416.95752155772	6480.6459938873
415.22501108033	7564.6566994899
413.50683862069	8926.8364162194
411.80282692308	10601.141864968
410.11280164159	12585.127059593
408.43659128065	15232.726115803
406.77402713704	17858.485529768
405.12494324324	19899.813338431
403.48917631225	20906.811498108
401.86656568365	20773.418272206
400.25695327103	19701.859595816
398.66018351064	17362.997849457
397.07610331126	14812.633969014
395.50456200528	12647.579780918
393.94541130092	10964.864061611
392.39850523560	9697.1445618111
390.86370013038	8746.4078374081
389.34085454545	8159.2272437228
387.82982923674	7933.1651435636
386.33048711340	7837.2044673056
384.84269319641	7844.1635557911
#Parameters = {R=60}
#"Wavelength / nm"	"Total ACS [pw] (R=60) [Magnitude]"
#-----------------------------------------------------
788.92752105263	6.4310691972062
782.74793211488	8.6022181297938
776.66439896373	10.567610897751
770.67469922879	12.292046778934
764.77667857143	14.360388253114
758.96824810127	16.615746557097
753.24738190955	19.379166383742
747.61211471322	22.149406058671
742.06053960396	24.896428391947
736.59080589681	27.863751773293
731.20111707317	31.050808537761
725.88972881356	34.654768006526
720.65494711538	38.541041338793
715.49512649165	41.858549323152
710.40866824645	45.266927711434
705.39401882353	49.033153460879
700.44966822430	53.070672266856
695.57414849188	58.034101262336
690.76603225806	63.406662180372
686.02393135011	69.247894212907
681.34649545455	75.502002912070
676.73241083521	82.592911049067
672.18039910314	90.364314039431
667.68921603563	98.469491594901
663.25765044248	106.95097674653
658.88452307692	116.28654040986
654.56868558952	126.96704890027
650.30901952278	138.49637942837
646.10443534483	151.24653158078
641.95387152034	165.08703016237
637.85629361702	180.10785962332
633.81069344609	196.48380458309
629.81608823529	214.31230398633
625.87151983299	233.17732097665
621.97605394191	253.87301590917
618.12877938144	277.04191847717
614.32880737705	303.14603058292
610.57527087576	331.95761339507
606.86732388664	366.72161842739
603.20414084507	406.01919863981
599.58491600000	449.59166141284
596.00886282306	495.51506812283
592.47521343874	547.32672271331
588.98321807466	606.89358205631
585.53214453125	677.03748365469
582.12127766990	757.65830981274
578.74991891892	851.27536291000
575.41738579655	961.59993484515
572.12301145038	1090.3321571853
568.86614421252	1242.5544913706
565.64614716981	1424.8924802102
562.46239774859	1643.4955479381
559.31428731343	1911.2307913616
556.20122077922	2252.3398624165
553.12261623616	2675.4581396579
550.07790458716	3206.4144785946
547.06652919708	3895.3797266742
544.08794555354	4786.2543208383
541.14162093863	5951.6294138480
538.22703411131	7532.2156586555
535.34367500000	9670.7572396502
532.49104440497	12495.300097570
529.66865371025	16091.760900308
526.87602460457	20336.880396065
524.11268881119	24314.078109278
521.37818782609	26598.885951114
518.67207266436	26138.526049167
515.99390361446	23271.575147862
513.34325000000	19463.837610369
510.71968994889	15842.719048701
508.12281016949	12875.358176525
505.55220573356	10573.150220216
503.00747986577	8815.0856278389
500.48824373957	7472.3119343397
497.99411627907	6434.7776425363
495.52472396694	5631.4136998590
493.07970065789	5003.6324272287
490.65868739771	4509.1275689407
488.26133224756	4104.0045148890
485.88729011345	3782.3621576669
483.53622258065	3533.3048888408
481.20779775281	3343.8862706533
478.90169009585	3206.5633704216
476.61758028617	3117.0335299570
474.35515506329	3069.0901010512
472.11410708661	3059.4862220951
469.89413479624	3089.8122726516
467.69494227769	3179.6426747538
465.51623913043	3315.4006663930
463.35774034003	3502.8705027737
461.21916615385	3750.1419952144
459.10024196018	4100.7351360773
457.00069817073	4588.6870461280
454.92027010622	5202.5154601438
452.85869788520	5973.3669867284
450.81572631579	6941.1819694429
448.79110479042	8252.3011903541
446.78458718331	9977.8369436259
444.79593175074	12126.951600376
442.82490103397	14742.525114009
440.87126176471	17783.874018938
